pH,total sulfur dioxide,chlorides,residual sugar,citric acid,quality white
3.13 ,125.0 mg/dm^3,0.021 g(sodium chloride)/dm^3,5.7 g/dm^3,0.38 g/dm^3,True
3.05 ,111.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,9.5 g/dm^3,0.22 g/dm^3,False
3.27 ,218.5 mg/dm^3,0.042 g(sodium chloride)/dm^3,2.5 g/dm^3,0.32 g/dm^3,False
3.22 ,138.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,2.1 g/dm^3,0.3 g/dm^3,False
3.24 ,99.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,5.1 g/dm^3,0.34 g/dm^3,True
3.42 ,117.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,1.5 g/dm^3,0.34 g/dm^3,True
3.52 ,107.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,1.4 g/dm^3,0.29 g/dm^3,True
2.89 ,109.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.9 g/dm^3,0.37 g/dm^3,False
3.33 ,10.0 mg/dm^3,0.066 g(sodium chloride)/dm^3,1.9 g/dm^3,0.48 g/dm^3,False
2.93 ,106.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,5.35 g/dm^3,0.29 g/dm^3,True
3.02 ,94.0 mg/dm^3,0.112 g(sodium chloride)/dm^3,13.1 g/dm^3,0.38 g/dm^3,False
3.54 ,12.0 mg/dm^3,0.086 g(sodium chloride)/dm^3,3.1 g/dm^3,0.1 g/dm^3,False
3.11 ,176.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,8.1 g/dm^3,0.33 g/dm^3,True
3.48 ,157.0 mg/dm^3,0.028 g(sodium chloride)/dm^3,2.5 g/dm^3,0.36 g/dm^3,True
3.19 ,99.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,1.2 g/dm^3,0.27 g/dm^3,True
3.29 ,14.0 mg/dm^3,0.082 g(sodium chloride)/dm^3,3.6 g/dm^3,0.34 g/dm^3,False
3.12 ,149.0 mg/dm^3,0.07 g(sodium chloride)/dm^3,1.7 g/dm^3,0.49 g/dm^3,False
3.21 ,135.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,13.9 g/dm^3,0.31 g/dm^3,False
3.22 ,22.0 mg/dm^3,0.062 g(sodium chloride)/dm^3,5.1 g/dm^3,0.34 g/dm^3,False
3.4 ,22.0 mg/dm^3,0.072 g(sodium chloride)/dm^3,2.0 g/dm^3,0.23 g/dm^3,False
3.08 ,100.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,7.1 g/dm^3,0.29 g/dm^3,True
3.21 ,10.0 mg/dm^3,0.101 g(sodium chloride)/dm^3,4.0 g/dm^3,0.53 g/dm^3,False
3.27 ,47.0 mg/dm^3,0.076 g(sodium chloride)/dm^3,2.4 g/dm^3,0.33 g/dm^3,False
3.16 ,114.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,4.2 g/dm^3,0.29 g/dm^3,True
3.22 ,13.0 mg/dm^3,0.104 g(sodium chloride)/dm^3,2.4 g/dm^3,0.5 g/dm^3,False
